"academic_group_id","session_number","exam_number","teacher_id","subject_id","success_count","all_count"
"-146116","1","1","672288","2007","7","11"
"-146116","1","2","366880","2771","5","11"
"-146116","1","3","580384","9287","6","11"
"-146116","2","1","-276704","2771","4","11"
"-146116","2","2","116768","1633","5","11"
"-146116","2","3","580384","9287","7","11"
"-146116","2","4","146976","3978","4","11"
"-146116","3","1","416288","2589","6","11"
"-146116","3","2","705824","7275","7","11"
"-146116","3","3","558880","9391","10","11"
"-146116","3","4","-166624","9424","7","11"
"-145860","1","1","246048","2007","19","22"
"-145860","1","2","4659","1239","14","22"
"-145860","1","3","512288","1748","18","22"
"-145860","1","4","108576","2868","10","22"
"-145860","2","1","-176352","1633","3","22"
"-145860","2","2","669472","230","11","22"
"-145860","2","3","108576","2868","10","22"
"-145860","2","4","503584","359","10","22"
"-145860","3","1","725280","4880","11","22"
"-145860","3","2","4659","2801","8","22"
"-145860","3","3","108576","7786","10","22"
"-145860","3","4","15392","9287","11","22"
"-144836","1","1","639776","2007","5","24"
"-144836","1","2","1279776","3553","7","24"
"-144836","2","1","577056","1633","19","24"
"-144836","2","2","-230368","9424","22","24"
"-144836","2","3","1238560","2705","21","24"
"-144836","2","4","328736","2771","13","24"
"-144836","3","1","1170720","3090","19","24"
"-144836","3","2","445728","3562","15","24"
"-144836","3","3","1776928","9496","22","24"
"-144580","1","1","571680","9573","6","16"
"-144580","1","2","110112","2771","6","16"
"-144580","1","3","648992","2007","14","16"
"-144580","1","4","18720","9287","12","16"
"-144580","2","1","39219","2771","2","16"
"-144580","2","2","84512","1633","1","16"
"-144580","2","3","18720","9287","4","16"
"-144580","2","4","21280","1741","10","16"
"-144580","3","1","108320","3489","14","16"
"-144580","3","2","557600","9424","16","16"
"-144580","3","3","183840","3456","15","16"
"-144324","1","1","-178400","7565","20","20"
"-144324","1","2","639776","2007","14","20"
"-144324","1","3","2269472","747","15","20"
"-144324","1","4","2135840","1304","20","20"
"-144324","2","1","119328","7897","10","20"
"-144324","2","2","689184","1745","19","20"
"-144324","2","3","308768","2109","20","20"
"-144324","3","1","696096","9424","17","20"
"-144324","3","2","1245216","2094","19","20"
"-144068","1","1","558880","9573","15","19"
"-144068","1","2","39219","2771","13","19"
"-144068","1","3","408608","9287","11","19"
"-144068","1","4","200992","2007","10","19"
"-144068","2","1","39219","2771","3","19"
"-144068","2","2","116768","1633","7","19"
"-144068","2","3","65343","1741","19","19"
"-144068","2","4","408608","9287","12","19"
"-144068","3","1","269088","5047","6","19"
"-144068","3","2","203552","2927","3","19"
"-144068","3","3","145952","5065","17","19"
"-144068","3","4","-166624","9424","12","19"
"-143044","1","1","132128","2771","9","22"
"-143044","1","2","89120","9573","16","22"
"-143044","1","3","1778208","2007","21","22"
"-143044","1","4","493344","9287","13","22"
"-143044","2","1","21280","1741","5","22"
"-143044","2","2","493344","9287","5","22"
"-143044","2","3","332832","1633","17","22"
"-143044","2","4","132128","2771","6","22"
"-143044","3","1","399392","232","14","22"
"-143044","3","2","148000","7791","6","22"
"-143044","3","3","694048","9424","13","22"
"-141508","1","1","-39648","9287","17","17"
"-141508","1","2","571680","9573","8","17"
"-141508","1","3","162336","2771","5","17"
"-141508","1","4","672288","2007","14","17"
"-141508","2","1","-176352","1626","3","17"
"-141508","2","2","21280","1741","3","17"
"-141508","2","3","162336","2771","7","17"
"-141508","2","4","-39648","9287","15","17"
"-141508","3","1","585760","9424","8","17"
"-141508","3","2","505375","7773","8","17"
"-141508","3","3","41267","7713","16","17"
"-141508","3","4","645920","10173","12","17"
"-141252","1","1","202528","9287","18","29"
"-141252","1","2","162848","2007","18","29"
"-141252","1","3","132128","2771","17","29"
"-141252","1","4","413984","1239","23","29"
"-141252","2","1","-176352","1633","15","29"
"-141252","2","2","202528","9287","15","29"
"-141252","2","3","132128","2771","15","29"
"-141252","2","4","1593632","1741","19","29"
"-141252","3","1","-52192","9424","21","29"
"-141252","3","2","1277216","10180","19","29"
"-140740","1","1","407072","4157","4","15"
"-140740","1","2","310816","9573","10","15"
"-140740","1","3","53792","9287","7","15"
"-140740","1","4","131616","2771","12","15"
"-140740","2","1","204320","1741","8","15"
"-140740","2","2","634400","2007","10","15"
"-140740","2","3","-176352","1633","11","15"
"-140740","2","4","407072","4545","8","15"
"-140740","3","1","2127392","9424","9","15"
"-140740","3","2","306464","1011","14","15"
"-140740","3","3","-348172207101","2167","9","15"
"-140740","3","4","1781792","3531","10","15"
"-140228","1","1","642080","2007","16","20"
"-140228","1","2","570656","3553","19","20"
"-140228","2","1","712992","2771","1","20"
"-140228","2","2","1543968","9424","15","20"
"-140228","2","3","570656","2705","20","20"
"-140228","2","4","577056","1633","20","20"
"-140228","3","1","122912","3090","16","20"
"-140228","3","2","142112","3562","10","20"
"-140228","3","3","1709344","9496","6","20"
"-139460","1","1","310816","9573","4","13"
"-139460","1","2","644640","2771","8","13"
"-139460","1","3","324128","9287","8","13"
"-139460","1","4","246048","2007","13","13"
"-139460","2","1","-159968","1633","4","13"
"-139460","2","2","644640","2771","4","13"
"-139460","2","3","65343","1741","13","13"
"-139460","2","4","324128","9287","11","13"
"-139460","3","1","199968","2935","11","13"
"-139460","3","2","117792","9412","7","13"
"-139460","3","3","-166624","9424","5","13"
"-139460","3","4","326176","10168","12","13"
"-138692","1","1","395296","9287","13","16"
"-138692","1","2","712992","2771","11","16"
"-138692","1","3","1777184","2007","4","16"
"-138692","1","4","1652000","9573","9","16"
"-138692","2","1","712992","2771","4","16"
"-138692","2","2","14643","1633","2","16"
"-138692","2","3","395296","9287","12","16"
"-138692","2","4","162080","6718","12","16"
"-138692","3","1","-166624","9424","9","16"
"-138692","3","2","56639","1741","15","16"
"-138692","3","3","298528","1324","7","16"
"-137924","1","1","115232","2771","7","14"
"-137924","1","2","344352","2007","10","14"
"-137924","1","3","53280","9287","3","14"
"-137924","1","4","310816","9573","7","14"
"-137924","2","1","203295","1741","4","14"
"-137924","2","2","53280","9287","8","14"
"-137924","2","3","115232","2771","12","14"
"-137924","2","4","158496","1633","10","14"
"-137924","3","1","2124064","9424","2","14"
"-137924","3","2","108064","7365","13","14"
"-137924","3","3","350240","7713","0","14"
"-136644","1","1","200992","2007","12","14"
"-136644","1","2","18720","9287","9","14"
"-136644","1","3","147232","229","10","14"
"-136644","1","4","346912","1858","14","14"
"-136644","2","1","147232","2868","3","14"
"-136644","2","2","346912","1858","7","14"
"-136644","2","3","18720","9287","10","14"
"-136644","2","4","577056","1633","9","14"
"-136644","3","1","146464","1662","6","14"
"-136132","1","1","603680","7899","17","22"
"-136132","1","2","634400","2007","20","22"
"-136132","1","3","159264","3553","19","22"
"-136132","2","1","611360","1633","10","22"
"-136132","2","2","526112","2771","6","22"
"-136132","2","3","607520","7901","14","22"
"-136132","2","4","156192","2705","18","22"
"-136132","3","1","609824","9424","16","22"
"-136132","3","2","607008","9258","2","22"
"-136132","3","3","608032","1648","7","22"
"-136132","3","4","39712","4743","21","22"
"-134340","1","1","162848","2007","10","18"
"-134340","1","2","495392","9287","4","18"
"-134340","1","3","396576","1748","9","18"
"-134340","1","4","108064","229","9","18"
